"Auf der Alm da gibt's koa Sünd" - Die Erotikfilme der 1960er, -70er und -80er Jahre	['german cinema', 'erotica']
'https://image.tmdb.org/t/p/w500/qSKpz1v2ePTRuBryto3OOcBluQ3.jpg'	'wikidata_id': 'Q4316365'
'https://image.tmdb.org/t/p/w500/zH3F2r6QiJjHfXSy1cA9vSMoPVO.jpg'	'https://image.tmdb.org/t/p/w500/pcDAZ2pSmS6fgJKB8lEqlEhA8d2.jpg'
'imdb_id': 'tt0824332'	'instagram_id': None
'imdb_id': 'tt0843838'	'instagram_id': None
'imdb_id': 'tt1227797'	'instagram_id': None
'imdb_id': 'tt37161396'	'instagram_id': None
'imdb_id': 'tt38938327'	'instagram_id': 'hirabanotsuki'
'imdb_id': None	'instagram_id': None, 'instagram_id': None
'impersonator'	'best man'],Jeremy Garelick,2015-01-16,101,3.1113,https://image.tmdb.org/t/p/w500/ciR2suRkfJen9lQvfz22lgCj7g7.jpg,23000000,79799880,He's the best man... money can buy.,['https://image.tmdb.org/t/p/w500/7seLl8IoDI4erWzo8OeZbVLW6l1.jpg'
'jealousy'	'mixed race marriage'],Luigi Scattini,1973-08-11,92,1.3907,https://image.tmdb.org/t/p/w500/f0Mfc0do0TwghaDbGjRXLabJhUP.jpg,0,0,,['https://image.tmdb.org/t/p/w500/lntKJIBsPLLjJWEo8srfZbogCCd.jpg'
'job hunting'	'https://image.tmdb.org/t/p/w500/uVK449zy5RhrMnieCOnkijH5HCC.jpg'
'new york city'	'wrestling'
'night, Mother	['suicide', 'parent child relationship', 'epilepsy', 'pulitzer prize', 'melancholy', 'based on play or musical', 'epileptic', 'mother daughter relationship']
'short film'],Lewis Farinella,2014-09-10,16,0.0,,0,0,,[],[],[],{'id': 401427	'facebook_id': None
'spoof'],Mark Schippert,2004-01-01,80,1.1619,https://image.tmdb.org/t/p/w500/nW7h23nSZ75GFDu8bTNfqehMbE3.jpg,0,0,,['https://image.tmdb.org/t/p/w500/bjsoNM0iKtmgZdCxu4eo7dkMYGo.jpg'	'https://image.tmdb.org/t/p/w500/nW7h23nSZ75GFDu8bTNfqehMbE3.jpg'
'street life'	'short compilation'
'thrash metal'],Wayne Isham,2019-11-06,131,0.8763,https://image.tmdb.org/t/p/w500/zAooGNk6SUfx1iXrk6cOXPCcM9r.jpg,0,0,,['https://image.tmdb.org/t/p/w500/w3IQy1dH7hy2WFhiKT3VQAGavUT.jpg'	'https://image.tmdb.org/t/p/w500/zAooGNk6SUfx1iXrk6cOXPCcM9r.jpg'],['ECfB-XhyJhE'],[],{'id': 638598
()	['short film', 'experimental film']
(500) Days of Summer	['jealousy', 'gallery', 'fight', 'date', 'architect', 'interview', 'sister', 'love', 'friends', 'fate', 'los angeles, california', 'summer', 'cynical', 'year', 'heartache']
(A)sexual	['woman director', 'asexuality']
(Blooper) Bunny!	['duck', 'cartoon', 'rabbit', 'short film']
(Dis)Honesty: The Truth About Lies	['woman director', 'dishonesty']
(Girl)Friend	['jealousy', 'paris, france', 'roommates', 'falling in love', 'moving in', 'best friends', 'male female friendship']
(Love Song)	["boys' love (bl)"]
(Nama) Tôchô Ripôto: Chiwa	['pink film']
(Nie)znajomi	['friendship', 'husband wife relationship', 'man woman relationship', 'remake', 'lgbt', 'father daughter relationship', 'mother daughter relationship']
(OO)	['short film']
(T)ERROR	['woman director']
(T)Raumschiff Surprise - Periode 1	['future', 'space marine', 'taxi driver', 'time travel', 'space travel', 'parody', 'spoof', 'space comedy', 'gender bender', 'medieval times']
(UN)Ideal Man	['love', 'dating', 'relationship', 'robot', 'humanoid robot', 'robot boy']
*batteries not included	['spacecraft', 'new york city', 'extraterrestrial technology', 'alien life-form', 'apartment building', 'elderly couple', 'property development']
+1	['chaos', 'college']
...All the Marbles	['wrestling']
...And God Created Woman	['lolita', 'adoption', 'saint-tropez, france']
...And Justice for All	['lawyer', 'courtroom', 'extramarital affair', 'courtroom drama', 'legal thriller', 'bitter']
...And Plays Tricks	['short film']
...And Your Name Is Jonah	['deaf', 'sign languages', 'misdiagnosis']
...And the Third Year, He Resuscitated	['resurrection', 'misunderstanding', 'historical fiction', 'political satire', 'spanish transition']
...So Goes the Nation	['political documentary']
...ing	['high school student', 'woman director']
.45	['new york city', 'obsession', 'addiction', 'control', 'revenge', 'trust']
0.0MHz	['based on comic', 'based on webcomic or webtoon']
0.5 mm	['blackmail', 'con man', 'retired', 'stolen bicycle', 'elderly couple', 'suicide of mother', 'woman director', 'confidence man', 'elder care', 'helping elders', 'caregiver patient relationship']
0000 Kilometre	['man woman relationship', 'young lovers', 'romantic relationship']
008: Operation Exterminate	['spy', 'double agent', 'female spy', 'government agent']
009 Re:Cyborg	['cyborg', 'nuclear missile', 'futuristic', 'terrorism', 'based on manga']
009-1: The End of the Beginning	['cyborg', 'dystopia', 'superhero', 'human trafficking', 'zombie', 'based on manga', 'super power', 'bio-engineered cyborg', 'female superhero']
0s & 1s	['computer', 'internet', 'found footage', 'internet culture', 'screenlife']
1	['speed', 'racing', 'race car driver', 'sports documentary', 'formula one (f1)']
1 Buck	['prostitute', 'cocaine', 'bayou', 'serial killer', 'drugs', 'widower']
1 Day	['woman director', 'birmingham']
1 Dimension	['short film', 'shadowplay']
1 Litre of Tears	['based on true story', 'terminal illness']
1 Message	['e-mail', 'breast cancer', 'cancer']
1 Million Followers	['thailand', 'social media influencer', 'independent film']
1 Night	['photography', 'relationship problems', 'love', 'prom night']
1 Out of 7	['mother', 'escape', 'underground', 'despair', 'pregnancy', 'hope', 'portland, oregon', 'love', 'loneliness', 'drugs', 'homeless']
1+1+1 Life, Love, Chaos	['buried memories', 'healing process']
1-900	['phone sex', 'erotic']
1-Ichi	['prequel', 'based on manga']
10	['beach', 'mexico', 'midlife crisis', 'honeymoon', 'crisis', 'marriage', 'romance', 'love', 'songwriter', 'cliché']
10 Attitudes	['infidelity', 'los angeles, california', 'dating', 'serial dating', 'jewish lgbt', 'gay theme', 'jewish']
10 Billion: What's On Your Plate	['food', 'environmentalism', 'natural resources', 'landgrabbing']
10 Cent Pistol	['criminal']
10 Cloverfield Lane	['kidnapping', 'paranoia', 'bunker', 'basement', 'survivalist', 'apocalypse', 'car accident', 'captive']
10 Days in a Madhouse	['undercover', 'insane asylum', 'reporter']
10 Days with Dad	['remake']
10 Items or Less	['restart', 'class', 'casual meeting', 'job interview', 'underclass', 'consumerism', 'movie star', 'aftercreditsstinger', 'duringcreditsstinger']
10 Kalpanakal	['police', 'murder']
10 Lives	['cat', 'animals', 'talking animal']
10 Minutes Gone	['traitor', 'bank heist', 'train station']
10 Plus 10	['woman director']
10 Questions for the Dalai Lama	['china', 'buddhist monk', 'religious education', 'faith', 'buddhist', 'lhasa']
10 Rillington Place	['london, england', 'biography', 'based on true story', 'serial killer', '1940s']
10 Rules for Sleeping Around	['husband wife relationship', 'open relationship', 'screwball comedy', 'lgbt', 'aftercreditsstinger', 'duringcreditsstinger', 'sleeping around', 'gay theme']
10 Things I Hate About You	['high school', 'deception', 'based on play or musical', 'coming of age', 'teen movie', 'shrew', "valentine's day", 'shakespeare in modern dress', 'opposites attract', 'duringcreditsstinger', 'teenage romance', 'overprotective father']
10 Things We Should Do Before We Break Up	['new york city', 'bachelor', 'ex-girlfriend', 'cynicism', 'one-night stand', 'ex husband', 'fear of commitment', 'single mother', 'divorcee', 'immaturity', 'set up', 'opposites', 'list', 'life challenges', 'unplanned pregnancy', 'commitment issues', 'mismatched relationship', 'unlikely romance']
10 Years	['romcom', 'reunion', 'high school reunion']
10 to 11	['woman director', 'istanbul, turkey']
10 to Midnight	['police', 'detective', 'villain', 'victim', 'revenge', 'murder', 'vigilante', 'stalking', 'serial killer', 'los angeles, california', 'criminal', 'killer', 'guilt', 'vigilante justice']
10%: What Makes a Hero?	['hero', 'anti hero', 'protest']
10,000 BC	['hunter', 'indigenous', 'fighter', 'female lover', 'pyramid', 'mammoth', 'sapient', 'mountain village', 'stone age', 'primitive time', 'prehistory', 'saber-toothed tiger', 'admiring']
10,000 Black Men Named George	['labor organizer', '1920s', 'african american']
10,000 Saints	['new york city', 'woman director', 'indifferent']
10.0 Earthquake	['sexual abuse', 'earthquake', 'stalker', 'los angeles, california', 'disaster movie', 'sexual assault']
100 Bloody Acres	['australia', 'brother', 'gore', 'murder', 'dog', 'incest']
100 Days	['remake']
100 Days Before the Command	['eroticism', 'soviet military', 'military', 'communism', 'gay theme']
100 Days Of Love	['love at first sight', 'photography', 'reunion', 'train', 'wedding anniversary', 'childhood friends', 'old photograph']
100 Days with Mr. Arrogant	['high school', 'love-hate relationship', 'revenge', 'school', 'older man younger woman relationship', 'tutor', 'rich man poor woman', 'rich man', 'student', 'adult-minor relationship', 'contract relationship']
100 Degrees Below Zero	['escape', 'volcano', 'iceland', 'europe', 'frozen alive', 'disaster movie', 'volcanic ash', 'cold snap']
100 Feet	['haunting', 'house arrest', 'vengeful ghost']
100 Ghost Street: The Return of Richard Speck	['found footage', 'richard speck']
100 Girls	['first time', 'underwear', 'feminism', 'college', 'kicker', 'loss of virginity', 'feminist', 'cross dressing', 'dorm room', 'elevator']
100 Horsemen	['peplum', '11th century', 'the moors (people)']
100 METERS	['competition', 'rivalry', 'coming of age', 'based on manga', 'track and field', 'school life', 'athletics', 'anime', 'sportsmanship', 'running']
100 Meters	['sports', 'biography', 'based on true story', 'blindfold', 'swimming', 'disability', 'multiple sclerosis']
100 Million BC	['tyrannosaurus rex', 'time travel', 'dinosaur', 'los angeles, california', 'time portal']
100 Nights of Hero	['based on graphic novel']
100 Rifles	['mexico', 'based on novel or book', 'bank robber', 'lawman\xa0', 'wanted man', 'mexican army', 'rebel leader', '1910s', 'phoenix, arizona', 'indigenous mexicans', 'yaqui indan', 'period film', 'african american', 'bounty', 'western', 'sonora, mexico']
100 Streets	['taxi', 'london, england', 'based on true story', 'rugby', 'cab driver', 'estranged wife', 'life of crime', 'chelsea', 'serious accident']
100 Things	['calm']
100 Tula Para Kay Stella	['philippines']
100 Vaginas	['woman director']
100 Women	['college', 'love']
100 Years at the Movies	['hollywood']
100 Yen Love	['night shift', 'homeless person', 'video game', 'boxer', 'boxing school', 'junk food', 'rape victim', 'burglary', 'co-workers relationship', 'thirty something', 'boxing trainer', 'aunt nephew relationship', 'living alone', 'date rape', 'kicked out', 'boxing', 'graveyard shift', 'irresponsible sister', 'father daughter relationship', 'mother daughter relationship', 'sister sister relationship', 'fired from a job', 'training-montage', 'self-neglect']
100 Yen: The Japanese Arcade Experience	['japan', 'video game', 'arcade']
100% Coco	['fashion', 'high school kids', 'fashion vlogger']
100% Love	['genius', 'love', 'ego']
100% Wolf	['poodle', 'teen angst', 'werewolf', "based on children's book", 'dog', 'acceptance']
1000 Journals	['woman director']
1000 Mabrouk	['egypt', 'deja vu', 'self-discovery', 'redemption', 'fate', 'time loop', 'car accident', 'family', 'second chance', 'death', 'repetition', 'existential crisis']
1000 Men and Me: The Bonnie Blue Story	['porn industry', 'softcore', 'nude photography']
1000 Miles From Christmas	['christmas']
1000 to 1	['college', 'basketball']
1001 Grams	['father daughter relationship', 'work-life balance']
1001 Nights	['hero', 'wife', 'magic', 'king', 'journey', 'genie'], ['granada, spain', 'genie', 'orientalism']
1001 Nights of Pleasure	['eroticism']
101 Dalmatians	['london, england', 'fur', 'fashion designer', 'puppy', 'fur coat', "based on children's book", 'dog', 'dalmatian', 'female villain', 'pets', 'live action remake', 'playful']
